# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jun 18 01:13:11 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and disc_facility like '%TESS%'
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and decstr in [+37, +73])
# CONSTRAINT:  order by disc_year desc, sy_pnum asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
TOI-1859 b,TOI-1859,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=DONG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230516495D/abstract target=ref>Dong et al. 2023</a>,63.48347000,0.00010000,-0.00010000,0,0.337000,0.044000,-0.036000,0,9.752,0.785,-0.785,0,,,,,,,,,,0.570000,0.120000,-0.160000,0,,,,,,,,,0,<a refstr=DONG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230516495D/abstract target=ref>Dong et al. 2023</a>,,6341.00,68.00,-70.00,0,1.36,0.10,-0.12,0,1.29,0.06,-0.06,0,0.120,0.054,-0.056,0,[M/H],4.29,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h39m19.62s,279.8317644,+69d31m22.34s,69.5228726,224.3850000,1.1730000,-1.1610000
TOI-1194 b,TOI-1194,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=WANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231012458W/abstract target=ref>Wang et al. 2023</a>,2.31064400,0.00000100,-0.00000100,0,0.034280,0.000550,-0.000550,0,8.597,0.504,-0.460,0,144.92975,17.48056,-16.20925,0,0.45600,0.05500,-0.05100,0,Mass,0.076000,0.032000,-0.043000,0,,,,,1391,38,-37,0,0,<a refstr=WANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231012458W/abstract target=ref>Wang et al. 2023</a>,,5446.00,51.00,-48.00,0,0.96,0.06,-0.05,0,1.01,0.05,-0.05,0,0.290,0.078,-0.078,0,[Fe/H],4.47,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h11m17.16s,167.8214811,+69d57m53.19s,69.9647749,149.6670000,0.6550000,-0.6490000
TOI-4127 b,TOI-4127,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=GUPTA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..234G/abstract target=ref>Gupta et al. 2023</a>,56.39879000,0.00010000,-0.00010000,0,0.308100,0.005500,-0.005800,0,12.285,0.437,-0.359,0,731.00534,34.96112,-34.96112,0,2.30000,0.11000,-0.11000,0,Mass,0.747100,0.007800,-0.008600,0,22.30,1.50,-1.50,0,605,10,-8,0,0,<a refstr=GUPTA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..234G/abstract target=ref>Gupta et al. 2023</a>,F V,6096.00,115.00,-115.00,0,1.29,0.05,-0.05,0,1.23,0.07,-0.07,0,0.140,0.120,-0.120,0,[Fe/H],4.26,0.14,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h01m37.09s,105.4045516,+72d24m53.75s,72.4149297,319.6320000,3.3510000,-3.2830000
TOI-1408 b,TOI-1408,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=GALAZUTDINOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.526L.111G/abstract target=ref>Galazutdinov et al. 2023</a>,4.42471100,0.00000160,-0.00000160,0,0.058040,0.000200,-0.000200,0,16.813,,,0,537.13001,63.56568,-63.56568,0,1.69000,0.20000,-0.20000,0,Mass,0.259000,0.026000,-0.026000,0,,,,,,,,,0,<a refstr=GALAZUTDINOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.526L.111G/abstract target=ref>Galazutdinov et al. 2023</a>,,6306.00,32.00,-32.00,0,1.27,0.01,-0.01,0,1.33,0.01,-0.01,0,7.790,0.120,-0.120,0,[Fe/H],4.35,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h54m02.65s,313.5110469,+72d34m50.32s,72.5806455,139.4840000,0.4180000,-0.4170000
TOI-2084 b,TOI-2084,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=BARKAOUI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230615095B/abstract target=ref>Barkaoui et al. 2023</a>,6.07842470,0.00000960,-0.00000960,0,0.050060,0.001030,-0.001030,0,2.470,0.130,-0.130,0,,,,,,,,,,,,,,12.80,0.80,-0.80,0,527,8,-8,0,0,<a refstr=BARKAOUI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230615095B/abstract target=ref>Barkaoui et al. 2023</a>,M2+/-0.5,3551.00,49.00,-52.00,0,0.47,0.01,-0.01,0,0.45,0.03,-0.03,0,-0.130,0.200,-0.200,0,[Fe/H],4.75,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h17m01.09s,259.2545389,+72d44m49.28s,72.7470231,114.5490000,0.3420000,-0.3390000
TOI-2134 b,TOI-2134,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,9.22920050,0.00000630,-0.00000630,0,0.078000,0.000900,-0.000900,0,2.690,0.160,-0.160,0,9.13000,0.78000,-0.76000,0,0.02873,0.00245,-0.00239,0,Mass,0.060000,0.030000,-0.040000,0,32.00,2.00,-2.00,0,666,8,-8,0,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,K5 V,4580.00,50.00,-50.00,0,0.71,0.02,-0.02,0,0.74,0.03,-0.03,0,0.120,0.020,-0.020,0,[Fe/H],4.80,0.30,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,22.6202000,0.0160000,-0.0159000
TOI-2134 c,TOI-2134,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,95.50000000,0.36000000,-0.25000000,0,0.371000,0.004000,-0.004000,0,7.270,0.420,-0.420,0,41.89000,7.69000,-7.83000,0,0.13180,0.02420,-0.02464,0,Mass,0.670000,0.050000,-0.060000,0,1.40,0.10,-0.10,0,306,4,-4,0,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,K5 V,4580.00,50.00,-50.00,0,0.71,0.02,-0.02,0,0.74,0.03,-0.03,0,0.120,0.020,-0.020,0,[Fe/H],4.80,0.30,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,22.6202000,0.0160000,-0.0159000
GJ 806 b,GJ 806,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,0.92632370,0.00000090,-0.00000090,0,0.014060,0.000300,-0.000300,0,1.331,0.023,-0.023,0,1.90000,0.17000,-0.17000,0,0.00598,0.00053,-0.00053,0,Mass,,,,,130.00,6.00,-6.00,0,940,10,-10,0,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,M1.5 V,3600.00,16.00,-16.00,0,0.41,0.00,0.00,0,0.41,0.01,-0.01,0,-0.280,0.070,-0.070,0,[Fe/H],4.98,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,12.0445000,0.0043500,-0.0043500
TOI-1470 b,TOI-1470,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,2.52709300,0.00000400,-0.00000300,0,0.028500,0.000400,-0.000400,0,2.180,0.040,-0.040,0,7.32000,1.21000,-1.24000,0,0.02303,0.00381,-0.00390,0,Mass,0.300000,,,1,46.30,1.50,-1.40,0,734,,,0,0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,M1.5 V,3709.00,11.00,-11.00,0,0.47,0.00,0.00,0,0.47,0.01,-0.01,0,0.000,0.030,-0.030,0,[Fe/H],4.77,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h40m21.39s,10.0891431,+61d12m48.19s,61.2133868,51.9503000,0.0745000,-0.0745000
TOI-1470 c,TOI-1470,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,18.08816000,0.00006000,-0.00008000,0,0.106000,0.001000,-0.001000,0,2.470,0.020,-0.020,0,7.24000,2.87000,-2.77000,0,0.02278,0.00903,-0.00872,0,Mass,0.500000,,,1,3.35,0.30,-0.20,0,373,,,0,0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,M1.5 V,3709.00,11.00,-11.00,0,0.47,0.00,0.00,0,0.47,0.01,-0.01,0,0.000,0.030,-0.030,0,[Fe/H],4.77,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h40m21.39s,10.0891431,+61d12m48.19s,61.2133868,51.9503000,0.0745000,-0.0745000
TOI-4600 b,TOI-4600,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=MIRELES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...954L..15M/abstract target=ref>Mireles et al. 2023</a>,82.68690000,0.00030000,-0.00030000,0,0.349000,0.021000,-0.021000,0,6.800,0.310,-0.300,0,959.84179,,,1,3.02000,,,1,Mass,0.250000,0.330000,-0.170000,0,,,,,347,12,-11,0,0,<a refstr=MIRELES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...954L..15M/abstract target=ref>Mireles et al. 2023</a>,K V,5170.00,120.00,-120.00,0,0.81,0.03,-0.03,0,0.89,0.05,-0.05,0,0.160,0.080,-0.080,0,[Fe/H],4.57,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h13m48.09s,258.4503674,+64d33m58.22s,64.5661727,216.0560000,1.1700000,-1.1590000
TOI-4600 c,TOI-4600,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=MIRELES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...954L..15M/abstract target=ref>Mireles et al. 2023</a>,482.81910000,0.00180000,-0.00170000,0,1.152000,0.068000,-0.068000,0,9.420,0.420,-0.410,0,2946.26933,,,1,9.27000,,,1,Mass,0.210000,0.290000,-0.140000,0,,,,,191,6,-6,0,0,<a refstr=MIRELES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...954L..15M/abstract target=ref>Mireles et al. 2023</a>,K V,5170.00,120.00,-120.00,0,0.81,0.03,-0.03,0,0.89,0.05,-0.05,0,0.160,0.080,-0.080,0,[Fe/H],4.57,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h13m48.09s,258.4503674,+64d33m58.22s,64.5661727,216.0560000,1.1700000,-1.1590000
TOI-1694 b,TOI-1694,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=VAN_ZANDT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...60V/abstract target=ref>Van Zandt et al. 2023</a>,3.77015000,0.00010000,-0.00010000,0,,,,,5.440,0.180,-0.180,0,26.10000,2.20000,-2.20000,0,0.08212,0.00692,-0.00692,0,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=VAN_ZANDT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...60V/abstract target=ref>Van Zandt et al. 2023</a>,,5066.40,100.00,-100.00,0,,,,,0.84,0.03,-0.03,0,0.120,0.060,-0.060,0,[Fe/H],4.53,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m59.69s,97.7487104,+66d21m38.14s,66.3605956,124.6800000,0.5900000,-0.5840000
TOI-1736 b,TOI-1736,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=MARTIOLI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231107011M/abstract target=ref>Martioli et al. 2023</a>,7.07308800,0.00000700,-0.00000700,0,0.074000,0.000900,-0.000900,0,2.440,0.180,-0.180,0,12.80000,1.80000,-1.80000,0,0.04000,0.00600,-0.00600,0,Mass,0.210000,,,1,,,,,1076,39,-39,0,0,<a refstr=MARTIOLI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231107011M/abstract target=ref>Martioli et al. 2023</a>,,5807.00,46.00,-46.00,0,1.15,0.08,-0.08,0,1.08,0.04,-0.04,0,0.138,0.014,-0.014,0,[Fe/H],4.35,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h53m44.27s,43.4344615,+69d06m04.84s,69.1013450,88.9482000,0.3219000,-0.3198000
TOI-4010 b,TOI-4010,1,4,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,1.34833500,0.00000300,-0.00000200,0,0.022900,0.000200,-0.000200,0,3.020,0.080,-0.080,0,11.00000,1.29000,-1.27000,0,0.03461,0.00406,-0.00400,0,Mass,0.030000,0.030000,-0.020000,0,714.00,28.00,-26.00,0,1441,14,-13,0,0,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,K V,4960.00,36.00,-36.00,0,0.83,0.01,-0.01,0,0.88,0.03,-0.03,0,0.370,0.070,-0.070,0,[Fe/H],4.54,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,177.5040000,0.9940000,-0.9820000
TOI-4010 c,TOI-4010,1,4,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,5.41465400,0.00000700,-0.00000700,0,0.058000,0.001000,-0.001000,0,5.930,0.110,-0.120,0,20.31000,2.13000,-2.11000,0,0.06390,0.00670,-0.00664,0,Mass,0.030000,0.030000,-0.020000,0,112.00,4.00,-4.00,0,907,9,-8,0,0,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,K V,4960.00,36.00,-36.00,0,0.83,0.01,-0.01,0,0.88,0.03,-0.03,0,0.370,0.070,-0.070,0,[Fe/H],4.54,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,177.5040000,0.9940000,-0.9820000
TOI-4010 d,TOI-4010,1,4,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,14.70886000,0.00003000,-0.00003000,0,0.113000,0.001000,-0.001000,0,6.180,0.140,-0.150,0,38.15000,3.27000,-3.22000,0,0.12003,0.01029,-0.01013,0,Mass,0.070000,0.030000,-0.030000,0,30.00,1.00,-1.00,0,650,6,-6,0,0,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,K V,4960.00,36.00,-36.00,0,0.83,0.01,-0.01,0,0.88,0.03,-0.03,0,0.370,0.070,-0.070,0,[Fe/H],4.54,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,177.5040000,0.9940000,-0.9820000
TOI-3629 b,TOI-3629,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=CA_NTILDE_AS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220109963C/abstract target=ref>Ca&ntilde;as et al. 2022</a>,3.93655100,0.00000500,-0.00000600,0,0.043000,0.002000,-0.002000,0,8.295,0.224,-0.224,0,82.63539,6.35657,-6.35657,0,0.26000,0.02000,-0.02000,0,Mass,0.050000,0.050000,-0.040000,0,39.00,4.00,-4.00,0,690,20,-20,0,0,<a refstr=CA_NTILDE_AS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220109963C/abstract target=ref>Ca&ntilde;as et al. 2022</a>,M1,3870.00,90.00,-90.00,0,0.60,0.02,-0.01,0,0.63,0.02,-0.02,0,0.400,0.100,-0.100,0,[Fe/H],4.67,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h59m10.41s,359.7933851,+39d18m51.32s,39.3142556,130.0910000,0.5480000,-0.5450000
TOI-3714 b,TOI-3714,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=CA_NTILDE_AS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220109963C/abstract target=ref>Ca&ntilde;as et al. 2022</a>,2.15484900,0.00000100,-0.00000100,0,0.027000,0.001000,-0.001000,0,11.321,0.336,-0.336,0,222.47988,9.53485,-9.53485,0,0.70000,0.03000,-0.03000,0,Mass,0.030000,0.030000,-0.020000,0,54.00,4.00,-5.00,0,750,20,-20,0,0,<a refstr=CA_NTILDE_AS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220109963C/abstract target=ref>Ca&ntilde;as et al. 2022</a>,M2,3660.00,90.00,-90.00,0,0.51,0.01,-0.01,0,0.53,0.02,-0.02,0,0.100,0.100,-0.100,0,[Fe/H],4.75,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h38m12.56s,69.5523415,+39d27m28.81s,39.4580035,112.7100000,0.5860000,-0.5790000
